No,スポット名,所在地
1,高浜岸壁,神戸市中央区東川崎町1
2,中突堤西側,神戸市中央区波止場町
3,元町商店街,神戸市中央区元町通4
4,西安門前,神戸市中央区元町通2
5,乙仲通,神戸市中央区栄町通2～5、海岸通2～5
6,明石町筋,神戸市中央区明石町
7,三宮センターサウス,神戸市中央区三宮町2
8,神戸市役所１号館24階,神戸市中央区加納町6
9,北野坂,神戸市中央区北野町2
10,ポーアイしおさい公園,神戸市中央区北港島1
11,ビーナスブリッジ,神戸市中央区諏訪山公園展望台
12,神戸布引ハーブ園 / ロープウェイ,神戸市北野町1-4-3
13,まやビューライン　掬星台,神戸市灘区摩耶山町2-2
14,鉢巻天覧台,神戸市灘区六甲山町南六甲
15,六甲ケーブル　天覧台,神戸市灘区六甲山町一ヶ谷1-32
16,六甲ガーデンテラス,神戸市灘区六甲山町五介山1877-9
17,旧居留地,神戸市中央区明石町周辺
18,明石海峡大橋（パールブリッジ）,神戸市垂水区東舞子町
19,神戸ハーバーランド,神戸市中央区東川崎町1丁目一帯
20,神戸ポートタワー・神戸海洋博物館 / カワサキワールド,神戸市中央区波止場町
21,ポートアイランド北公園,神戸市中央区港島2-2北公園内
22,神戸空港マリンエア,神戸市中央区神戸空港1
